signal,domain,package_ball,bank,vccio,io_standard,direction,capability,destination,translator,notes,source
# Logical Rev-A inventory. Exact package_ball/bank remain UNBOUND until official Lattice data is imported.
SDRAM_DQ0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 0,Lattice ECP5UM-85 Pinout
SDRAM_DQ1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 1,Lattice ECP5UM-85 Pinout
SDRAM_DQ2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 2,Lattice ECP5UM-85 Pinout
SDRAM_DQ3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 3,Lattice ECP5UM-85 Pinout
SDRAM_DQ4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 4,Lattice ECP5UM-85 Pinout
SDRAM_DQ5,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 5,Lattice ECP5UM-85 Pinout
SDRAM_DQ6,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 6,Lattice ECP5UM-85 Pinout
SDRAM_DQ7,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 7,Lattice ECP5UM-85 Pinout
SDRAM_DQ8,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 8,Lattice ECP5UM-85 Pinout
SDRAM_DQ9,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 9,Lattice ECP5UM-85 Pinout
SDRAM_DQ10,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 10,Lattice ECP5UM-85 Pinout
SDRAM_DQ11,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 11,Lattice ECP5UM-85 Pinout
SDRAM_DQ12,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 12,Lattice ECP5UM-85 Pinout
SDRAM_DQ13,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 13,Lattice ECP5UM-85 Pinout
SDRAM_DQ14,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 14,Lattice ECP5UM-85 Pinout
SDRAM_DQ15,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,SDRAM_DATA,SDRAM,none,x16 data bit 15,Lattice ECP5UM-85 Pinout
SDRAM_A0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A5,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A6,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A7,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A8,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A9,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A10,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A11,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_A12,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_ADDR,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_BA0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_BANK,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_BA1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_BANK,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_DQM0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_MASK,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_DQM1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_MASK,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_CKE,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_CTRL,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_CS_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_CTRL,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_RAS_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_CTRL,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_CAS_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_CTRL,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_WE_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SDRAM_CTRL,SDRAM,none,,Lattice ECP5UM-85 Pinout
SDRAM_CLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,CLOCK,SDRAM,none,clock-capable placement required,Lattice ECP5UM-85 Pinout
