pad,pin_name,retrosbc_role,status,source
1,GPIO4,MGMT_FPGA_UART_TX,BOUND_LOGICAL,RP2350 datasheet QFN-80
2,GPIO5,MGMT_FPGA_UART_RX,BOUND_LOGICAL,RP2350 datasheet QFN-80
3,GPIO6,SPARE,RESERVED,RP2350 datasheet QFN-80
4,GPIO7,SPARE,RESERVED,RP2350 datasheet QFN-80
6,GPIO8,MGMT_I2C_SDA,BOUND_LOGICAL,RP2350 datasheet QFN-80
7,GPIO9,MGMT_I2C_SCL,BOUND_LOGICAL,RP2350 datasheet QFN-80
16,GPIO16,MGMT_FPGA_SPI_MISO,BOUND_LOGICAL,RP2350 datasheet QFN-80
17,GPIO17,MGMT_FPGA_SPI_CS_N,BOUND_LOGICAL,RP2350 datasheet QFN-80
18,GPIO18,MGMT_FPGA_SPI_SCLK,BOUND_LOGICAL,RP2350 datasheet QFN-80
19,GPIO19,MGMT_FPGA_SPI_MOSI,BOUND_LOGICAL,RP2350 datasheet QFN-80
20,GPIO20,MGMT_K1_RESET_N,BOUND_LOGICAL,RP2350 datasheet QFN-80
21,GPIO21,MGMT_K1_RECOVERY,BOUND_LOGICAL,RP2350 datasheet QFN-80
22,GPIO22,MGMT_K1_STATUS,BOUND_LOGICAL,RP2350 datasheet QFN-80
23,GPIO23,MGMT_K1_WDOG,BOUND_LOGICAL,RP2350 datasheet QFN-80
25,GPIO24,MGMT_FPGA_RESET_N,BOUND_LOGICAL,RP2350 datasheet QFN-80
26,GPIO25,MGMT_FPGA_DONE,BOUND_LOGICAL,RP2350 datasheet QFN-80
27,GPIO26,MGMT_FPGA_IRQ,BOUND_LOGICAL,RP2350 datasheet QFN-80
28,GPIO27,MGMT_FPGA_WDOG,BOUND_LOGICAL,RP2350 datasheet QFN-80
36,GPIO28,MGMT_FAN_PWM,BOUND_LOGICAL,RP2350 datasheet QFN-80
37,GPIO29,MGMT_FAN_TACH,BOUND_LOGICAL,RP2350 datasheet QFN-80
38,GPIO30,MGMT_LED_STATUS,BOUND_LOGICAL,RP2350 datasheet QFN-80
39,GPIO31,MGMT_LED_ERROR,BOUND_LOGICAL,RP2350 datasheet QFN-80
40,GPIO32,MGMT_BUTTON_SERVICE_N,BOUND_LOGICAL,RP2350 datasheet QFN-80
42,GPIO33,MGMT_BOARD_REV0,BOUND_LOGICAL,RP2350 datasheet QFN-80
43,GPIO34,MGMT_BOARD_REV1,BOUND_LOGICAL,RP2350 datasheet QFN-80
44,GPIO35,MGMT_BOARD_REV2,BOUND_LOGICAL,RP2350 datasheet QFN-80
45,GPIO36,MGMT_PWR_GOOD,BOUND_LOGICAL,RP2350 datasheet QFN-80
49,GPIO40_ADC0,MGMT_ADC_INPUT,BOUND_LOGICAL,RP2350 datasheet QFN-80
52,GPIO41_ADC1,MGMT_ADC_5V,BOUND_LOGICAL,RP2350 datasheet QFN-80
53,GPIO42_ADC2,MGMT_ADC_3V3,BOUND_LOGICAL,RP2350 datasheet QFN-80
54,GPIO43_ADC3,MGMT_ADC_THERMAL,BOUND_LOGICAL,RP2350 datasheet QFN-80
77,GPIO0,MGMT_K1_UART_TX,BOUND_LOGICAL,RP2350 datasheet QFN-80
78,GPIO1,MGMT_K1_UART_RX,BOUND_LOGICAL,RP2350 datasheet QFN-80
66,USB_DM,MGMT_USB_DM,BOUND_DEDICATED,RP2350 datasheet QFN-80
67,USB_DP,MGMT_USB_DP,BOUND_DEDICATED,RP2350 datasheet QFN-80
