ref,value_or_function,from,to,status
U_MGMT,RP2354B,pads 5;15;24;29;41;50;60;68;69;76,MGMT_3V3,LOCKED
U_MGMT,RP2354B,pad 59 ADC_AVDD,MGMT_3V3,LOCKED
U_MGMT,RP2354B,pad 61 VREG_AVDD,MGMT_3V3,LOCKED
U_MGMT,RP2354B,pad 63 VREG_VIN,MGMT_3V3,LOCKED
U_MGMT,RP2354B,pads 10;32;51 DVDD,MGMT_1V1,LOCKED
U_MGMT,RP2354B,pad 62 VREG_PGND,GND,LOCKED
U_MGMT,RP2354B,EP,GND,LOCKED
L_MGMT_CORE,3.3uH,pad 64 VREG_LX,MGMT_1V1,REFERENCE_LOCK
U_MGMT,RP2354B,pad 65 VREG_FB,MGMT_1V1,REFERENCE_LOCK
C_MGMT_VREG_IN,4.7uF,MGMT_3V3,GND,REFERENCE_LOCK
C_MGMT_VREG_OUT,4.7uF,MGMT_1V1,GND,REFERENCE_LOCK
R_MGMT_VREG_AVDD,33R,MGMT_3V3,VREG_AVDD,REFERENCE_LOCK
C_MGMT_VREG_AVDD,4.7uF,VREG_AVDD,GND,REFERENCE_LOCK
C_MGMT_BULK,10uF class,MGMT_3V3,GND,CLASS_LOCK
C_MGMT_IOVDD,100nF class,MGMT_3V3,GND,CLASS_LOCK
C_MGMT_DVDD,100nF per power pin normally; reference layout includes 4.7uF core decoupling,MGMT_1V1,GND,REFERENCE_LOCK
