pad,pin_name,pin_type,source
1,UNTRANSCRIBED,TBD,TBD
2,UNTRANSCRIBED,TBD,TBD
3,UNTRANSCRIBED,TBD,TBD
4,UNTRANSCRIBED,TBD,TBD
5,UNTRANSCRIBED,TBD,TBD
6,UNTRANSCRIBED,TBD,TBD
7,UNTRANSCRIBED,TBD,TBD
8,UNTRANSCRIBED,TBD,TBD
9,UNTRANSCRIBED,TBD,TBD
10,UNTRANSCRIBED,TBD,TBD
11,UNTRANSCRIBED,TBD,TBD
12,UNTRANSCRIBED,TBD,TBD
13,UNTRANSCRIBED,TBD,TBD
14,UNTRANSCRIBED,TBD,TBD
15,UNTRANSCRIBED,TBD,TBD
16,UNTRANSCRIBED,TBD,TBD
17,UNTRANSCRIBED,TBD,TBD
18,UNTRANSCRIBED,TBD,TBD
19,UNTRANSCRIBED,TBD,TBD
20,UNTRANSCRIBED,TBD,TBD
21,UNTRANSCRIBED,TBD,TBD
22,UNTRANSCRIBED,TBD,TBD
23,UNTRANSCRIBED,TBD,TBD
24,UNTRANSCRIBED,TBD,TBD
25,UNTRANSCRIBED,TBD,TBD
26,UNTRANSCRIBED,TBD,TBD
27,UNTRANSCRIBED,TBD,TBD
28,UNTRANSCRIBED,TBD,TBD
29,UNTRANSCRIBED,TBD,TBD
30,UNTRANSCRIBED,TBD,TBD
31,UNTRANSCRIBED,TBD,TBD
32,UNTRANSCRIBED,TBD,TBD
33,UNTRANSCRIBED,TBD,TBD
34,UNTRANSCRIBED,TBD,TBD
35,UNTRANSCRIBED,TBD,TBD
36,UNTRANSCRIBED,TBD,TBD
37,UNTRANSCRIBED,TBD,TBD
38,UNTRANSCRIBED,TBD,TBD
39,UNTRANSCRIBED,TBD,TBD
40,UNTRANSCRIBED,TBD,TBD
41,UNTRANSCRIBED,TBD,TBD
42,UNTRANSCRIBED,TBD,TBD
43,UNTRANSCRIBED,TBD,TBD
44,UNTRANSCRIBED,TBD,TBD
45,UNTRANSCRIBED,TBD,TBD
46,UNTRANSCRIBED,TBD,TBD
47,UNTRANSCRIBED,TBD,TBD
48,UNTRANSCRIBED,TBD,TBD
49,UNTRANSCRIBED,TBD,TBD
50,UNTRANSCRIBED,TBD,TBD
51,UNTRANSCRIBED,TBD,TBD
52,UNTRANSCRIBED,TBD,TBD
53,UNTRANSCRIBED,TBD,TBD
54,UNTRANSCRIBED,TBD,TBD
55,UNTRANSCRIBED,TBD,TBD
56,UNTRANSCRIBED,TBD,TBD
57,UNTRANSCRIBED,TBD,TBD
58,UNTRANSCRIBED,TBD,TBD
59,UNTRANSCRIBED,TBD,TBD
60,UNTRANSCRIBED,TBD,TBD
61,UNTRANSCRIBED,TBD,TBD
62,UNTRANSCRIBED,TBD,TBD
63,UNTRANSCRIBED,TBD,TBD
64,UNTRANSCRIBED,TBD,TBD
65,UNTRANSCRIBED,TBD,TBD
66,UNTRANSCRIBED,TBD,TBD
67,UNTRANSCRIBED,TBD,TBD
68,UNTRANSCRIBED,TBD,TBD
69,UNTRANSCRIBED,TBD,TBD
70,UNTRANSCRIBED,TBD,TBD
71,UNTRANSCRIBED,TBD,TBD
72,UNTRANSCRIBED,TBD,TBD
73,UNTRANSCRIBED,TBD,TBD
74,UNTRANSCRIBED,TBD,TBD
75,UNTRANSCRIBED,TBD,TBD
76,UNTRANSCRIBED,TBD,TBD
77,UNTRANSCRIBED,TBD,TBD
78,UNTRANSCRIBED,TBD,TBD
79,UNTRANSCRIBED,TBD,TBD
80,UNTRANSCRIBED,TBD,TBD
